_id,barcode,category,categoryCode,name,topBrand,brandCode,cpg_id
601c5460be37ce2ead43755f,511111519928,Beverages,BEVERAGES,Starbucks,False,STARBUCKS,5332f5fbe4b03c9a25efd0ba
5cdad0f5166eb33eb7ce0faa,511111104810,Condiments & Sauces,NULL,J.L. Kraft,NULL,J.L. KRAFT,559c2234e4b06aca36af13c6
5ab15636e4b0be0a89bb0b07,511111504412,Canned Goods & Soups,NULL,Campbell's Home Style,False,CAMPBELLS HOME STYLE,5a734034e4b0d58f376be874
57c08106e4b0718ff5fcb02c,511111102540,NULL,NULL,MorningStar,NULL,511111102540,5332f5f2e4b03c9a25efd0aa
588ba07be4b02187f85cdadd,511111201076,Baking,NULL,Calumet,False,CALUMET,559c2234e4b06aca36af13c6
5d6413156d5f3b23d1bc790a,511111205012,Magazines,NULL,Entertainment Weekly,NULL,511111205012,5d5d4fd16d5f3b23d1bc7905
585a9611e4b03e62d1ce0e74,511111801801,Breakfast & Cereal,NULL,AUNT JEMIMA Syrup,False,AUNT JEMIMA SYRUP,5332f5fbe4b03c9a25efd0ba
57e5820ce4b0ac389136a311,511111202233,Beer Wine Spirits,NULL,Molson Canadian,False,MOLSON,5332f709e4b03c9a25efd0f1
5fb6adb8be37ce522e165cb8,511111817376,Health & Wellness,HEALTHY_AND_WELLNESS,Lotrimin®,False,LOTRIMIN,5d9b4f591dda2c6225a284aa
592486bfe410d61fcea3d139,511111300700,Beauty,NULL,ST. IVES,False,ST IVES,5332f5f6e4b03c9a25efd0b4
5da6071ea60b87376833e34d,511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,NULL,ALKA SELTZER,5d9b4f591dda2c6225a284aa
57ebc011e4b0ac389136a335,511111802129,Condiments & Sauces,NULL,Jack Daniel's,False,JACK DANIEL'S BARBECUE,559c2234e4b06aca36af13c6
5332f5fee4b03c9a25efd0bd,511111303947,NULL,NULL,Bottled Starbucks,NULL,511111303947,53e10d6368abd3c7065097cc
5332fa7ce4b03c9a25efd22e,511111802914,NULL,NULL,Full Throttle,NULL,511111802914,5332f5ebe4b03c9a25efd0a8
5e9f18bfbe37ce3e45b6a77f,511111914549,Baking,BAKING,PopUp Brand A,NULL,511111914549,5e9f12f5be37ce3e45b6a77e
592486bee410d61fcea3d133,511111400769,Frozen,NULL,MAGNUM Ice Cream,False,MAGNUM Ice Cream,5332f5f6e4b03c9a25efd0b4
5d66d71fa3a018093ab34728,511111105329,Magazines,NULL,Elegant Homes Magazine,NULL,511111105329,5d5d4fd16d5f3b23d1bc7905
57ebc2e7e4b0ac389136a34b,511111201915,Grocery,NULL,Taco Bell,False,TACO BELL,559c2234e4b06aca36af13c6
5dc03596a60b873d6b0666cd,511111506249,Breakfast & Cereal,NULL,Frosted Cheerios™,NULL,FROSTED CHEERIOS,53e10d6368abd3c7065097cc
5332f772e4b03c9a25efd125,511111103653,NULL,NULL,Gold Medal,NULL,511111103653,5332f5f3e4b03c9a25efd0ae
59dfaad1e4b0a56a2fa69abc,511111100621,Baking,NULL,GODIVA Instant Pudding Mix,False,GODIVA DRY PACKAGED DESSERTS,559c2234e4b06aca36af13c6
5daf33e71dda2c3e1416ae93,511111305910,Snacks,NULL,LÄRABAR™,NULL,LARABAR,5332f5f3e4b03c9a25efd0ae
5bd200a6965c7d66d92731ea,511111504627,Household,NULL,Cottonelle,False,COTTONELLE,550b2565e4b001d5e9e4146f
585a9675e4b03e62d1ce0e7f,511111301691,Beverages,NULL,Izze,False,IZZE,5332f5fbe4b03c9a25efd0ba
5887a17ee4b02187f85cdad3,511111101178,Beverages,NULL,Mio,False,MIO,559c2234e4b06aca36af13c6
5332f765e4b03c9a25efd11f,511111503699,NULL,NULL,Glaceau vitaminwater,NULL,511111503699,5332f5ebe4b03c9a25efd0a8
5d66d94d6d5f3b6188d4f04b,511111505365,Magazines,NULL,Magnolia Journal Magazine,NULL,511111505365,5d5d4fd16d5f3b23d1bc7905
5d66d2fd6d5f3b6188d4f045,511111405252,Magazines,NULL,American Patchwork & Quilting Magazine,NULL,QUILTING SPECIAL EDITION,5d5d4fd16d5f3b23d1bc7905
5332f5f3e4b03c9a25efd0ad,511111104025,NULL,NULL,Gree Giant,NULL,511111104025,5332f5f3e4b03c9a25efd0ae
5a5d1e76e4b0db471c2d0425,511111900337,Beer Wine Spirits,NULL,Herman Joseph's,NULL,HERMAN,5332f709e4b03c9a25efd0f1
55b630d9e4b0d8e685c1421f,511111302629,NULL,NULL,Sundrop,NULL,511111302629,55b62995e4b0d8e685c14213
5d602d9d6d5f3b23d1bc7907,511111704935,Beverages,NULL,Kevita Sparkling Drinks,NULL,KEVITA,5332f5fbe4b03c9a25efd0ba
57ebbf75e4b0ac389136a32f,511111902188,Frozen,NULL,Delimex,False,DELIMEX,559c2234e4b06aca36af13c6
5d2f68d96d5f3b107e208da4,511111004844,Personal Care,NULL,THE RIGHT TO SHOWER,NULL,THE RIGHT TO SHOWER,5332f5f6e4b03c9a25efd0b4
592486bde410d61fcea3d124,511111100904,Personal Care,NULL,CARESS,False,CARESS,5332f5f6e4b03c9a25efd0b4
5332f6ede4b03c9a25efd0e5,511111603870,NULL,NULL,Blue Bunny,NULL,511111603870,5332f6ede4b03c9a25efd0e6
5332fa05e4b03c9a25efd1d6,511111103141,NULL,NULL,Krave,NULL,511111103141,5332f5f2e4b03c9a25efd0aa
5c76d3cd95144c5375687b4f,511111106876,Grocery,NULL,DASH-2249 Brand1,True,TEST BRAND CODE,5c76d20595144c5375687b4e
5a8c36dbe4b0ccf165fac9e9,511111204206,Canned Goods & Soups,NULL,Swanson,False,SWANSON,5a734034e4b0d58f376be874
55b630e1e4b0d8e685c14220,511111102618,NULL,NULL,A&W Rootbeer,NULL,511111102618,55b62995e4b0d8e685c14213
5c76db7295144c5375687b50,511111306887,Frozen,NULL,DASH-2249 Brand2,False,DASH-2249 1,5c76d20595144c5375687b4e
5da609991dda2c3e1416ae90,511111805854,Health & Wellness,NULL,ONE A DAY® WOMENS,False,511111805854,53e10d6368abd3c7065097cc
5afda575e4b0c11cfecd49f9,511111104537,Snacks,NULL,Kettle Brand,False,KETTLE BRAND,5a734034e4b0d58f376be874
5ab154dde4b0915382df761f,511111404392,Canned Goods & Soups,NULL,Campbell's Soup at Hand,False,CAMPBELLS SOUP AT HAND ,5a734034e4b0d58f376be874
5fb82faebe37ce522e165ce9,511111117841,Grocery,GROCERY,Rainbo,False,RAINBO,5fb6b608be37ce522e165cb9
57e58157e4b0ac389136a30a,511111602279,Beer Wine Spirits,NULL,Crispin Cider Company,False,CRISPIN,5332f709e4b03c9a25efd0f1
5e90a545ee7f2d70340f40d7,511111114413,Health & Wellness,HEALTHY_AND_WELLNESS,Claritin®,False,CLARITIN®,5d9b4f591dda2c6225a284aa
5daf5e94a60b87376833e362,511111706045,Breakfast & Cereal,NULL,Cookie Crisp™,NULL,COOKIE CRISP,5332f5f3e4b03c9a25efd0ae
5332f743e4b03c9a25efd109,511111903789,Snacks,NULL,Keebler,NULL,511111903789,5332f5f2e4b03c9a25efd0aa
5afda65de4b0c11cfecd49fb,511111004561,Snacks,NULL,SNYDERS OF HANOVER,False,SNYDERS OF HANOVER,5a734034e4b0d58f376be874
5332fa7ee4b03c9a25efd230,511111702894,NULL,NULL,Powerade,NULL,511111702894,5332f5ebe4b03c9a25efd0a8
57ebbfafe4b0ac389136a332,511111002154,Condiments & Sauces,NULL,Good Seasons,False,GOOD SEASONS,559c2234e4b06aca36af13c6
57ace91ae4b057c992a316ac,511111602552,NULL,NULL,Pizza Pizza Pizza,NULL,511111602552,57ace90fe4b057c992a316ab
5a5d2431e4b06ba572cf24a1,511111200246,Beer Wine Spirits,NULL,Revolver,NULL,REVOLVER,5332f709e4b03c9a25efd0f1
57e5810ce4b0ac389136a307,511111802280,Beer Wine Spirits,NULL,Keystone Light,False,KEYSTONE LIGHT,5332f709e4b03c9a25efd0f1
5332f5f2e4b03c9a25efd0ab,511111604037,NULL,NULL,Our Family,NULL,511111604037,5332f5f3e4b03c9a25efd0ac
5db9f9cca60b87376833e36b,511111806226,Snacks,NULL,Fruit Roll-Ups™,NULL,BETTY CROCKER FRUIT ROLL UPS,5332f5f3e4b03c9a25efd0ae
5aa1b41de4b086c8aad5e096,511111304265,Condiments & Sauces,NULL,MOMOFUKU Sauce,False,MOMOFUKU,559c2234e4b06aca36af13c6
592486bee410d61fcea3d136,511111500735,Frozen,NULL,POPSICLE,False,POPSICLE,5332f5f6e4b03c9a25efd0b4
5332f603e4b03c9a25efd0be,511111103936,Beverages,NULL,Mug Root Beer,False,MUG Root Beer,5332f5fbe4b03c9a25efd0ba
5afda699e4b0c11cfecd49fd,511111704584,Snacks,NULL,Tom's,False,TOMS,5a734034e4b0d58f376be874
592486bfe410d61fcea3d137,511111000723,Dairy,NULL,PROMISE,NULL,PROMISE,53e10d6368abd3c7065097cc
5a4d2295e4b0d5c3fd86b679,511111200529,Snacks,NULL,OFF THE EATEN PATH,NULL,OFF THE EATEN PATH,5332f5fbe4b03c9a25efd0ba
5332f9fce4b03c9a25efd1cd,511111003199,NULL,NULL,Honey Smacks,NULL,511111003199,5332f5f2e4b03c9a25efd0aa
57ebc293e4b0ac389136a345,511111301974,Frozen,NULL,Nancy's,False,NANCY'S,559c2234e4b06aca36af13c6
5332f7b8e4b03c9a25efd145,511111903413,NULL,NULL,Stella Artois,NULL,511111903413,5332f7a7e4b03c9a25efd134
5ab153fee4b0915382df761e,511111704379,Canned Goods & Soups,NULL,Campbell's Chunky Maxx,False,CAMPBELLS CHUNKY MAXX,5a734034e4b0d58f376be874
5aa1b5b9e4b05a92fc9b1631,511111004288,Condiments & Sauces,NULL,FOOD NETWORK KITCHEN INSPIRATIONS,False,FOOD NETWORK KITCHEN INSPIRATIONS,559c2234e4b06aca36af13c6
57c0829ce4b0718ff5fcb03a,511111002437,NULL,NULL,Victoria,NULL,511111002437,5332f7a7e4b03c9a25efd134
5a4d244ae4b0bcb2c74ea77f,511111500506,Snacks,NULL,SABRITAS,NULL,SABRITAS,5332f5fbe4b03c9a25efd0ba
57ebbfa1e4b0ac389136a330,511111702177,Beverages,NULL,Gevalia,False,GEVALIA KAFFE,559c2234e4b06aca36af13c6
59d550f4e4b090070b009534,511111600633,Dairy,NULL,"O, That's Good!",False,O THAT'S GOOD,559c2234e4b06aca36af13c6
585a9645e4b03e62d1ce0e79,511111801757,Snacks,NULL,Chester's,True,CHESTER'S,5332f5fbe4b03c9a25efd0ba
585a968ee4b03e62d1ce0e82,511111101666,Snacks,NULL,Miss Vickies,NULL,MISS VICKIE'S,5332f5fbe4b03c9a25efd0ba
5d2f6b82a3a01810a2174aed,511111704867,Condiments & Sauces,NULL,SIR KENSINGTON'S,NULL,SIR KENSINGTON'S,5332f5f6e4b03c9a25efd0b4
5332f9f2e4b03c9a25efd1c8,511111803232,NULL,NULL,Crispix,NULL,511111803232,5332f5f2e4b03c9a25efd0aa
55a41b55e4b0d0a65b3692ef,511111502708,NULL,NULL,NessAlla,NULL,511111502708,55a41b4be4b0d0a65b3692ee
5887a372e4b02187f85cdad9,511111001119,Snacks,NULL,Doritos,True,DORITOS,5332f5fbe4b03c9a25efd0ba
57ed0697e4b072ac2294b8f2,511111101895,Condiments & Sauces,NULL,A.1.,True,A.1.,559c2234e4b06aca36af13c6
55b630c2e4b0d8e685c1421d,511111002642,NULL,NULL,RC Cola,NULL,511111002642,55b62995e4b0d8e685c14213
5332f605e4b03c9a25efd0c0,511111403913,NULL,NULL,Amp,NULL,511111403913,5332f5fbe4b03c9a25efd0ba
5d66de49a3a018093ab3472a,511111505433,Beverages,NULL,Looza Fruit Juices,NULL,LOOZA JUICES,5332f5fbe4b03c9a25efd0ba
5da605dc1dda2c3e1416ae83,511111005582,Health & Wellness,NULL,Aleve®,NULL,ALEVE,5d9b4f591dda2c6225a284aa
5e3876bfee7f2d697e835bd3,511111613961,Beauty,NULL,Soft-Sheen Carson - Hair Color,NULL,SOFT-SHEEN CARSON - HAIR COLOR,5e28b81cee7f2d697e835bcd
57ebc11fe4b0ac389136a33a,511111802075,Baking,NULL,Kraft Caramels,False,511111802075,559c2234e4b06aca36af13c6
5bd201a990fa074576779a19,511111104698,Baby,NULL,Pull-Ups,False,PULL UPS,550b2565e4b001d5e9e4146f
5332f60ce4b03c9a25efd0c3,511111303893,Beverages,NULL,Brisk Iced Tea,False,BRISK,5332f5fbe4b03c9a25efd0ba
5a7e0604e4b0aedb3b84afd3,511111504139,Beverages,NULL,Chris Brand XYZ,NULL,CHRISXYZ,55b62995e4b0d8e685c14213
5332f9f2e4b03c9a25efd1c7,511111003243,NULL,NULL,All-Bran,NULL,511111003243,5332f5f2e4b03c9a25efd0aa
57ebbd44e4b0ac389136a32d,511111002208,Condiments & Sauces,NULL,Bull's Eye,False,BULL'S-EYE,559c2234e4b06aca36af13c6
592486bee410d61fcea3d12f,511111600794,Frozen,NULL,KLONDIKE,False,KLONDIKE,5332f5f6e4b03c9a25efd0b4
592486bee410d61fcea3d12a,511111600848,Frozen,NULL,FRUTTARE,NULL,FRUTTARE,53e10d6368abd3c7065097cc
5da60576a60b87376833e349,511111305569,Health & Wellness,NULL,AFRIN® NO DRIP PUMP MISTS,NULL,511111305569,53e10d6368abd3c7065097cc
5332f5f5e4b03c9a25efd0b0,511111404002,NULL,NULL,Betty Crocker,NULL,511111404002,5332f5f3e4b03c9a25efd0ae
580dff9fe4b0f32b2de21382,511111701859,Baking,NULL,Knox Gelatin,False,KNOX,559c2234e4b06aca36af13c6
5da608131dda2c3e1416ae8a,511111505716,Health & Wellness,NULL,Claritin® ADULTS,NULL,511111505716,53e10d6368abd3c7065097cc
588b9f8fe4b02187f85cdada,511111501107,Snacks,NULL,Planters,False,PLANTERS,559c2234e4b06aca36af13c6
592486bde410d61fcea3d127,511111800873,Personal Care,PERSONAL_CARE,DEGREE,False,DEGREE,5332f5f6e4b03c9a25efd0b4
5a4d23dae4b0bcb2c74ea77e,511111000518,Beverages,NULL,Caleb's Kola,False,CALEB'S KOLA,5332f5fbe4b03c9a25efd0ba
5d66dc946d5f3b6188d4f04e,511111305408,Beverages,NULL,Lemon Lemon Sparkling Drinks,NULL,LEMON LEMON,5332f5fbe4b03c9a25efd0ba
592486bfe410d61fcea3d140,511111300656,Personal Care,PERSONAL_CARE,VASELINE,False,VASELINE,5332f5f6e4b03c9a25efd0b4
5d658ff3a3a018514994f432,511111005216,Magazines,NULL,Cooking Light Magazine,NULL,511111005216,53e10d6368abd3c7065097cc
5ef4f667be37ce2efae842ea,511111715047,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Pinesol,NULL,PINESOL,5eebc5412455c97a877ef382
55b6308ee4b0d8e685c1421a,511111202677,NULL,NULL,Snapple,NULL,511111202677,55b62995e4b0d8e685c14213
5332f760e4b03c9a25efd11b,511111603719,NULL,NULL,Honest Ade,NULL,511111603719,5332f5ebe4b03c9a25efd0a8
5d642dbfa3a018514994f42e,511111005148,Magazines,NULL,Shape,NULL,511111005148,5d5d4fd16d5f3b23d1bc7905
5e3875d2ee7f2d697e835bce,511111013914,Beauty,NULL,Essie,NULL,ESSIE,5e28b81cee7f2d697e835bcd
5332f9f3e4b03c9a25efd1c9,511111303220,NULL,NULL,Pop-tarts,NULL,511111303220,5332f5f2e4b03c9a25efd0aa
5c45f91b87ff3552f950f027,511111204923,Grocery,NULL,Brand1,True,0987654321,5c45f8b087ff3552f950f026
58861c7d4e8d0d20bc42c4d6,511111601449,Snacks,NULL,Jell-O Refrigerated Pudding & Gelatin,False,511111601449,559c2234e4b06aca36af13c6
55b630fde4b0d8e685c14223,511111502586,NULL,NULL,Diet Dr. Pepper,NULL,511111502586,55b62995e4b0d8e685c14213
5ab158e8e4b0915382df7622,511111404446,Canned Goods & Soups,NULL,Campbell's Well Yes!,False,CAMPBELLS WELL YES,5a734034e4b0d58f376be874
5fb82236be37ce522e165cdf,511111217749,NULL,NULL,Beef Steak,False,BEEF STEAK,5fb6b608be37ce522e165cb9
5a02188be4b00d6a5ccb394d,511111300588,Beauty,NULL,POND'S,False,POND'S,5332f5f6e4b03c9a25efd0b4
5e387617ee7f2d697e835bd0,511111713937,Beauty,NULL,L’Oreal Paris - Cosmetics,NULL,L’OREAL PARIS - COSMETICS,5e28b81cee7f2d697e835bcd
57ebc2ace4b0ac389136a346,511111801962,Deli,NULL,P3,False,511111801962,559c2234e4b06aca36af13c6
5da6094ca60b87376833e357,511111605829,Health & Wellness,NULL,ONE A DAY® MENS,NULL,511111605829,53e10d6368abd3c7065097cc
585a9726e4b03e62d1ce0e95,511111501497,Beverages,NULL,Tazo,NULL,511111501497,53e10d6368abd3c7065097cc
5332f7d3e4b03c9a25efd14e,511111803393,Snacks,NULL,Cheez-It,NULL,511111803393,5332f5f2e4b03c9a25efd0aa
5afda3a8e4b03bf01c2a2967,511111604525,Snacks,NULL,Snack Factory,False,SNACK FACTORY,5a734034e4b0d58f376be874
57c08294e4b0718ff5fcb039,511111202448,NULL,NULL,Jupiler,NULL,511111202448,5332f7a7e4b03c9a25efd134
5332f77ce4b03c9a25efd12a,511111703617,NULL,NULL,Gardetto's,NULL,511111703617,5332f5f3e4b03c9a25efd0ae
5332f9ede4b03c9a25efd1c2,511111403289,NULL,NULL,Danimals,NULL,511111403289,5332f7ffe4b03c9a25efd16b
58861c7e4e8d0d20bc42c4e2,511111201403,Beer Wine Spirits,NULL,Miller 64,False,MILLER64,5332f709e4b03c9a25efd0f1
592486bee410d61fcea3d12d,511111700814,Dairy,NULL,I CAN'T BELIEVE IT'S NOT BUTTER!,NULL,I CAN'T BELIEVE IT'S NOT BUTTER!,53e10d6368abd3c7065097cc
5da608dfa60b87376833e354,511111805786,Health & Wellness,NULL,ONE A DAY® ENERGY ,NULL,511111805786,53e10d6368abd3c7065097cc
57ebc28be4b0ac389136a344,511111501985,Condiments & Sauces,NULL,Miracle Whip,False,KRAFT MIRACLE WHIP,559c2234e4b06aca36af13c6
58b59989e4b0857c2ddb7255,511111400998,Beer Wine Spirits,NULL,Redd's Wicked,False,511111400998,5332f709e4b03c9a25efd0f1
5a5d257fe4b06ba572cf24a3,511111300212,Beer Wine Spirits,NULL,Sheaf Stout,NULL,SHEAF STOUT,5332f709e4b03c9a25efd0f1
585a963ce4b03e62d1ce0e78,511111001768,Snacks,NULL,Cheetos,True,CHEETOS,5332f5fbe4b03c9a25efd0ba
5fb82a68be37ce522e165ce6,511111217817,Grocery,GROCERY,Nature's Harvest,False,NATURES HARVEST,5fb6b608be37ce522e165cb9
5d6415d5a3a018514994f429,511111605058,Magazines,NULL,Health Magazine,NULL,511111605058,5d5d4fd16d5f3b23d1bc7905
5332fa7ae4b03c9a25efd229,511111402961,NULL,NULL,Fanta,NULL,511111402961,5332f5ebe4b03c9a25efd0a8
5bd201cc965c7d66d92731ee,511111704706,Household,NULL,Scott,False,SCOTT,550b2565e4b001d5e9e4146f
5daf3507a60b87376833e35c,511111505921,Health & Wellness,NULL,EPIC™,NULL,EPIC,5332f5f3e4b03c9a25efd0ae
58861c7e4e8d0d20bc42c4de,511111901426,Beer Wine Spirits,NULL,Grolsch Lager,False,GROLSCH,5332f709e4b03c9a25efd0f1
5a5e32c3e4b06ba572cf24aa,511111400042,Beer Wine Spirits,NULL,Magnum,NULL,MAGNUM,5332f709e4b03c9a25efd0f1
5332fa7be4b03c9a25efd22b,511111702948,NULL,NULL,Diet Cherry Coke,NULL,511111702948,5332f5ebe4b03c9a25efd0a8
58861c7e4e8d0d20bc42c4e0,511111701415,Beer Wine Spirits,NULL,Killians,False,KILLIAN'S,5332f709e4b03c9a25efd0f1
5332f775e4b03c9a25efd127,511111403630,NULL,NULL,Cheerios,NULL,511111403630,5332f5f3e4b03c9a25efd0ae
581ce962e4b058c71f74c443,511111301813,NULL,NULL,.,NULL,511111301813,581ce8d5e4b058c71f74c442
5332fa08e4b03c9a25efd1d8,511111903130,NULL,NULL,Frosted Flakes,NULL,511111903130,5332f5f2e4b03c9a25efd0aa
58b5988ce4b0857c2ddb7252,511111301028,Beer Wine Spirits,NULL,Henry's Hard Sparkling,False,511111301028,5332f709e4b03c9a25efd0f1
57ebc125e4b0ac389136a33b,511111302063,Grocery,NULL,Kraft Macaroni & Cheese,False,511111302063,559c2234e4b06aca36af13c6
5332f7c8e4b03c9a25efd148,511111403401,NULL,NULL,Cascadian Farm,NULL,511111403401,5332f5f3e4b03c9a25efd0ae
57ebc2c8e4b0ac389136a349,511111901938,Grocery,NULL,Shake N' Bake,False,KRAFT SHAKE 'N BAKE,559c2234e4b06aca36af13c6
588ba032e4b02187f85cdadc,511111401087,Condiments & Sauces,NULL,HP Sauce,False,HP,559c2234e4b06aca36af13c6
5dc0773ea60b873d6b0666ce,511111206262,Breakfast & Cereal,NULL,Drumstick™ Cereal,NULL,DRUMSTICK CEREAL,5332f5f3e4b03c9a25efd0ae
5da60649a60b87376833e34b,511111105602,Health & Wellness,NULL,ALEVE® D SINUS & COLD,NULL,ALEVE D SINUS & COLD,53e10d6368abd3c7065097cc
580dff84e4b0f32b2de2137f,511111601883,Dairy,NULL,Cheez Whiz,False,CHEEZ WHIZ,559c2234e4b06aca36af13c6
57d957f2e4b0ac389136a2b4,511111502371,Frozen,NULL,Cool Whip,False,COOL WHIP,559c2234e4b06aca36af13c6
5daf59751dda2c3e1416ae99,511111006022,Breakfast & Cereal,NULL,Trix™,NULL,TRIX,5332f5f3e4b03c9a25efd0ae
5da60859a60b87376833e352,511111405740,Health & Wellness,NULL,Flintstones™ Vitamins,False,FLINTSTONES,5d9b4f591dda2c6225a284aa
5fb81935be37ce522e165cda,511111217695,Beer Wine Spirits,BEER_WINE_SPIRITS,Absolut® Grapefruit,False,ABSOLUT® GRAPEFRUIT,5fb6d381be37ce522e165cbd
5fb6d726be37ce522e165cc0,511111317432,Beer Wine Spirits,BEER_WINE_SPIRITS,Altos®,False,ALTOS,5fb6d381be37ce522e165cbd
5fb800f1be37ce522e165ccb,511111417545,Beer Wine Spirits,BEER_WINE_SPIRITS,Del Maguey® Vida,False,DEL MAGUEY ,5fb6d381be37ce522e165cbd
5fb80b63be37ce522e165cd1,511111917601,Beer Wine Spirits,BEER_WINE_SPIRITS,Jameson® Black Barrel ,False,JAMESON® BLACK BARREL ,5fb6d381be37ce522e165cbd
5fb808a1be37ce522e165ccf,511111817581,Beer Wine Spirits,BEER_WINE_SPIRITS,Jameson® ,False,JAMESON,5fb6d381be37ce522e165cbd
5fb7e62dbe37ce522e165cc3,511111217466,Beer Wine Spirits,BEER_WINE_SPIRITS,Monkey 47®,False,MONKEY 47,5fb6d381be37ce522e165cbd
5fb80d7cbe37ce522e165cd2,511111417613,Beer Wine Spirits,BEER_WINE_SPIRITS,Malibu® Original,False,MALIBU,5fb6d381be37ce522e165cbd
5fb7e962be37ce522e165cc6,511111417491,Beer Wine Spirits,BEER_WINE_SPIRITS,Lillet®,False,LILLET,5fb6d381be37ce522e165cbd
5d642de76d5f3b23d1bc7911,511111705161,Magazines,NULL,Traditional Home,NULL,511111705161,5d5d4fd16d5f3b23d1bc7905
57c0827de4b0718ff5fcb037,511111902461,Baby,NULL,Antarctica,True,AMP2,5332f7a7e4b03c9a25efd134
5332fa03e4b03c9a25efd1d5,511111603153,NULL,NULL,Fruit Flavored Snacks,NULL,511111603153,53e10d6368abd3c7065097cc
5a8c3577e4b07f0a2dac8945,511111404163,Snacks,NULL,Kelsen,False,KELSEN,5a734034e4b0d58f376be874
5da60932a60b87376833e356,511111405818,Health & Wellness,NULL,ONE A DAY® KIDS AND TEENS,NULL,511111405818,53e10d6368abd3c7065097cc
5da606581dda2c3e1416ae85,511111605614,Health & Wellness,NULL,ALEVE® DIRECT THERAPY PAIN RELIEF DEVICES,NULL,ALEVE DIRECT THERAPY PAIN RELIEF DEVICES,53e10d6368abd3c7065097cc
5a5d1ba9e4b0db471c2d0422,511111600404,Beer Wine Spirits,NULL,Colorado Native,NULL,COLORADO NATIVE,5332f709e4b03c9a25efd0f1
585a9714e4b03e62d1ce0e92,511111801528,Beverages,NULL,SoBe,NULL,SOBE,5332f5fbe4b03c9a25efd0ba
57ebc026e4b0ac389136a338,511111502098,Dairy,NULL,Knudsen,False,KNUDSEN,559c2234e4b06aca36af13c6
5da608a8a60b87376833e353,511111105763,Health & Wellness,NULL,MiraLAX® Laxatives,NULL,511111105763,53e10d6368abd3c7065097cc
5d66dda06d5f3b6188d4f050,511111005421,Magazines,NULL,Pillsbury Magazine,NULL,511111005421,5d5d4fd16d5f3b23d1bc7905
585a9637e4b03e62d1ce0e77,511111501770,Breakfast & Cereal,NULL,Cap'n Crunch,True,CAP'N CRUNCH,53e10d6368abd3c7065097cc
5332fa79e4b03c9a25efd226,511111602996,NULL,NULL,Mello Yello,NULL,511111602996,5332f5ebe4b03c9a25efd0a8
5fb82359be37ce522e165ce1,511111917762,Grocery,GROCERY,Mrs Baird's ,False,MRS BAIRD'S,5fb6b608be37ce522e165cb9
592486bfe410d61fcea3d13f,511111500667,Personal Care,PERSONAL_CARE,TRESEMME,False,TRESEMME,5332f5f6e4b03c9a25efd0b4
552ecca1e4b02ff29f99b215,511111202721,NULL,NULL,Top Care,NULL,511111202721,5459429be4b0bfcb1e864082
5a5e3615e4b06ba572cf24ab,511111700029,Beverages,NULL,PURE LEAF Iced Tea Beverages,False,PURE LEAF Iced Tea Beverages,5332f5fbe4b03c9a25efd0ba
5e5ff1f7ee7f2d0b35b2a18e,511111414049,Health & Wellness,HEALTHY_AND_WELLNESS,ONE A DAY® KIDS,NULL,ONE A DAY KIDS,5d9b4f591dda2c6225a284aa
585a967fe4b03e62d1ce0e80,511111801689,Snacks,NULL,Lay's Kettle Cooked,True,511111801689,5332f5fbe4b03c9a25efd0ba
5d66dd526d5f3b6188d4f04f,511111805410,Beverages,NULL,LIFEWTR,False,LIFEWTR,5332f5fbe4b03c9a25efd0ba
5d6412f86d5f3b23d1bc7909,511111804994,Magazines,NULL,Eating Well Magazine,NULL,511111804994,5d5d4fd16d5f3b23d1bc7905
5332f608e4b03c9a25efd0c1,511111903901,NULL,NULL,Sierra Mist,NULL,511111903901,53e10d6368abd3c7065097cc
5c49d161f0276e7719673719,511111904731,Baby,NULL,SIMILAC,NULL,SIMILAC,59b96571e4b0bf7c7980588b
5da60843a60b87376833e351,511111205739,Health & Wellness,HEALTHY_AND_WELLNESS,Coricidin® HBP,False,CORICIDIN HBP,5d9b4f591dda2c6225a284aa
5a5d29fde4b0db471c2d0433,511111400110,Beauty & Personal Care,NULL,Badedas,NULL,BADEDAS,53e10d6368abd3c7065097cc
54594387e4b0bfcb1e864083,511111902744,NULL,NULL,Shurfine,NULL,511111902744,5459429be4b0bfcb1e864082
585a96d2e4b03e62d1ce0e89,511111001607,Beverages,NULL,Pepsi Diet,False,511111001607,5332f5fbe4b03c9a25efd0ba
5332f9fee4b03c9a25efd1d0,511111803164,NULL,NULL,Apple Jacks/Cinnamon Jacks,NULL,511111803164,5332f5f2e4b03c9a25efd0aa
5332fa73e4b03c9a25efd21c,511111703051,NULL,NULL,Diet Coke,NULL,511111703051,5332f5ebe4b03c9a25efd0a8
5332f7afe4b03c9a25efd13d,511111203483,NULL,NULL,Shock Top,NULL,511111203483,5332f7a7e4b03c9a25efd134
5d540e65a3a018514994f41f,511111404880,Frozen,NULL,Benihana Frozen Entrees,NULL,BENIHANA,559c2234e4b06aca36af13c6
5daf46261dda2c3e1416ae96,511111905967,Dairy,NULL,Mountain High™,NULL,MOUNTAIN HIGH,5332f5f3e4b03c9a25efd0ae
585a972de4b03e62d1ce0e96,511111001485,Snacks,NULL,Tostitos,NULL,TOSTITOS,5332f5fbe4b03c9a25efd0ba
